,batch_size,image_size,kernel_size,in_channels,out_channels,stride,padding,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,region,cloud_provider,cloud_region,cpu_count,gpu_count,longitude,latitude,ram_total_size,rep_no,macs,forward_passes
753,39,157,2,259,227,3,3,30.60828121503194,0.0010051139484800334,0.0328381471922168,76.46604314465526,30.038666666666668,288.75,1.8127638380699073e-05,7.066211707611111e-06,6.756306653037315e-05,9.275691661868519e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,26770515876.0,36.0
754,67,103,8,510,431,4,0,42.61780842145284,0.0013986897939070667,0.032819623460506535,76.25813706383401,29.445333333333334,288.75,0.0003001275212437889,0.00011675616238738889,0.0011320529652138445,0.0015489366488450444,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,542922714432.0,3.0
755,222,35,8,493,356,2,3,31.338815371195476,0.0010261002425744,0.0327421601527873,75.8496109869013,29.71966666666667,288.75,0.00033040366904491664,0.00012834153940581667,0.0012457402443306167,0.0017044854527814002,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,720678345144.0,2.0
756,112,28,11,366,97,1,1,34.17604120572408,0.0011188617822692334,0.03273823651317703,75.4542935049259,29.899333333333335,288.75,0.00010216568417956666,4.035577007905238e-05,0.0003884997997846762,0.0005310212540433095,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,192453587200.0,7.0
757,209,176,10,68,315,1,0,333.595130999883,0.010921280636160833,0.032738129389251164,74.56033790872941,29.901333333333337,288.75,0.0069844036857591996,0.002763255280581467,0.0265356654062867,0.0362833243726274,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,12487127814315.0,1.0
758,148,107,1,413,218,2,3,30.690478563308716,0.0010059749832466334,0.03277799187392273,75.46696035506798,29.537333333333333,288.75,4.069660264984583e-05,1.5730741179062498e-05,0.00015245450485187084,0.00020888184868078543,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,43397854704.0,16.0
759,211,33,6,303,380,3,3,30.64502151807149,0.0010039168334299,0.03275954784268767,76.45532170851509,29.337666666666667,288.75,5.9038208602578787e-05,2.2716272973915154e-05,0.00022145205222897575,0.00030320653380547577,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,125954441280.0,11.0
760,199,215,2,349,410,3,1,55.748837073644005,0.001826883661152,0.03276981854368303,75.73039633346629,29.49266666666667,288.75,0.00058546726179935,0.00023000553580486665,0.0022192176694257166,0.0030346904670299664,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,590878696320.0,2.0
761,207,165,6,370,357,4,3,51.15643231074015,0.0016795083747925,0.0328308596641545,76.39064266710672,29.492,288.75,0.0010883715031038666,0.0004205681356506333,0.004070822403745467,0.005579762042500033,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1736496733356.0,1.0
762,110,31,4,276,399,2,3,30.338035027186077,0.0009936703345583334,0.0327532927730318,75.49648986575119,29.61966666666667,288.75,2.5637651095287997e-05,9.969407454890666e-06,9.644215534461733e-05,0.00013204921389479998,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,56026155570.0,25.0
763,74,170,3,165,233,3,2,31.932870546976726,0.0010463196921515333,0.0327662574843291,76.41185549601646,29.524666666666665,288.75,6.740023865162334e-05,2.6328405477140002e-05,0.0002538858715361967,0.00034761451566497,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,86191102768.0,10.0
764,27,216,8,70,91,1,0,39.889743645985924,0.0013070359100815334,0.0327662242651747,75.29097094178287,30.047666666666668,288.75,0.0002778142188561222,0.00011046838816094444,0.001059154724191722,0.0014474373312088108,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,480919816377.0,3.0
765,109,179,2,484,19,5,2,30.519102652867634,0.0011200860302271,0.03675223325448854,75.28660774561038,29.474666666666668,288.75,1.7597328858325152e-05,6.826457552527177e-06,7.698133860975262e-05,0.00010140512502060861,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,5491780463.0,36.666666666666664
766,236,78,11,445,37,4,0,33.970085302988686,0.0011112105297517666,0.03271138836664713,75.70883761165622,29.653666666666666,288.75,0.00011858451412678887,4.6419000132433334e-05,0.0004502847081947056,0.0006152882224539389,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,135882965608.0,6.0
767,6,46,4,144,466,3,0,30.07486128807068,0.0012294881830764001,0.04087836034337553,75.73514050649077,29.773,288.75,7.948569795048655e-07,3.0689013332834615e-07,3.944081591589915e-06,5.0458287044232505e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1450075500.0,807.3333333333334
768,243,199,6,130,386,4,1,34.287325064341225,0.0011255001273649333,0.03282558532662693,76.28229243417455,29.669999999999998,288.75,0.0007287145039895666,0.0002834127207781,0.0027270758561789336,0.0037392030809467332,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1054203319638.0,1.0
769,164,210,8,135,175,4,0,39.093266248703,0.0012819249058712999,0.03279151798987537,76.23540869854469,29.418000000000003,288.75,0.0004127210854543667,0.00016005688458013335,0.0015566653952002333,0.0021294433652347664,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,645039416700.0,2.0
770,168,223,10,326,328,3,3,240.4398234685262,0.007879996948045734,0.03277325132917643,75.4452618865637,29.64266666666667,288.75,0.0050709583240782,0.0019766307792672,0.019131802750627164,0.026179391853972635,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,9837335579904.0,1.0
771,251,204,9,304,409,3,1,266.00338713328046,0.008728872048720866,0.03281488310450853,75.71312557764416,29.987,288.75,0.005625519528189766,0.0022081893627751,0.021165866021729134,0.0289995749126941,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,11011871623500.0,1.0
772,244,224,4,400,154,4,2,39.815588076909386,0.0013077384623981336,0.032845101519731905,76.5154979843348,29.667333333333332,288.75,0.0008434995485953667,0.00032986425073069995,0.0031712822551528005,0.004344646054478999,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,781462398024.0,1.0
773,230,160,10,437,181,3,1,123.32654205958049,0.0040367238790261,0.03273199955709407,75.18097036912377,29.333,288.75,0.002591624924779733,0.0010068517569920999,0.0098125661056902,0.013411042787462135,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,4731928110630.0,1.0
774,138,43,4,272,347,3,2,30.740634044011433,0.0010061518224212332,0.0327302924059022,76.4205775803978,29.062,288.75,2.6049790491665335e-05,9.927894251576001e-06,9.7730198634992e-05,0.00013370788337823867,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,46900745550.0,25.0
775,13,201,8,332,227,5,2,31.248759587605793,0.0010242346945043333,0.03277679674949983,76.63488604883297,29.448333333333334,288.75,6.638038878019333e-05,2.545722246277e-05,0.00024843969590133665,0.00034027730714429995,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,100329278400.0,10.0
776,235,205,8,481,153,4,3,87.1096830368042,0.0028558927086863,0.03278508852015124,76.12613233395861,29.350333333333335,288.75,0.0018421825341151333,0.0007085874650631334,0.0069372456442978,0.009488015643476233,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,2878981029675.0,1.0
777,123,70,3,212,460,1,2,42.96099988619486,0.0014112298295448,0.03284943139843583,76.54469850260672,29.685000000000002,288.75,0.0003037502396049222,0.00011776737927156665,0.0011413061126238667,0.0015628237315003669,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,559930164480.0,3.0
