batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
10,1907657,30.056339581807453,0.0012343575833933,0.0410652482055003,76.7909759477535,29.628666666666664,288.75,3.7608179966222855e-07,1.3998437675154407e-07,1.8151619241950968e-06,2.331228100608945e-06,2.0,1.0,770.0,2.0,0.0,1760.0
453,2522416,32.355381647745766,0.0010585898884174,0.03271747479345854,75.55519514973093,29.651333333333337,288.75,6.17872508186485e-05,2.4197873579278782e-05,0.00023373395999272425,0.00031971908439065456,2.0,1.0,770.0,2.0,0.0,11.0
184,1446750,30.14117153485616,0.0012368029439685,0.04104390187945226,76.16789644853493,29.861333333333334,288.75,5.373876658404769e-06,2.012115722802376e-06,2.5876600262750985e-05,3.326259264395921e-05,2.0,1.0,770.0,2.0,0.0,123.66666666666667
314,1511521,30.202013889948528,0.0012340078058461334,0.04086313424831353,74.82882128688608,29.790333333333333,288.75,2.0814862663683876e-05,8.151733127909541e-06,0.00011179218277058956,0.00014075877856218762,2.0,1.0,770.0,2.0,0.0,39.0
273,1721567,30.40999682744344,0.0010022833024159333,0.0329596414813951,77.43596243951427,29.678333333333338,288.75,1.4908552826414109e-05,5.783587222537802e-06,5.519074034926263e-05,7.588288039821682e-05,2.0,1.0,770.0,2.0,0.0,55.333333333333336
198,4719290,31.403059720993042,0.0010292528665953333,0.0327757758463068,75.49602030417235,30.086,288.75,5.078398110435641e-05,2.0237090197374356e-05,0.00019201313943052563,0.0002630342107322641,2.0,1.0,770.0,2.0,0.0,13.0
33,4580508,30.107430775960285,0.0013586238626722,0.04512587536660834,76.18408170372214,29.974333333333334,288.75,3.0506190662951715e-06,1.153520219995937e-06,1.6501761637314788e-05,2.0705900923606817e-05,2.0,1.0,770.0,2.0,0.0,218.0
84,4533933,30.181353489557903,0.0011155195719435333,0.0369660215468669,76.044430631255,30.027666666666665,288.75,1.2230320814693912e-05,4.743504724895563e-06,5.014621314743698e-05,6.712003868702835e-05,2.0,1.0,770.0,2.0,0.0,67.0
481,4462193,32.72146884600321,0.0010709023341715,0.03272749481941767,75.255063165077,29.667,288.75,0.00011436684434833334,4.494506196031667e-05,0.00043365727097347223,0.0005929691772821444,2.0,1.0,770.0,2.0,0.0,6.0
110,195001,30.0590558052063,0.0012355264115474667,0.041101145241026794,78.48992990039736,29.703999999999997,288.75,4.2278909328216783e-07,1.5896467873900463e-07,2.04141227976944e-06,2.6231660517906984e-06,2.0,1.0,770.0,2.0,0.0,1565.0
231,1021887,30.194909890492756,0.0011185272066828,0.03704800987290043,75.63529666664867,29.71166666666667,288.75,4.7203748761491046e-06,1.7742408493734068e-06,1.9842726677128824e-05,2.6337342402651803e-05,2.0,1.0,770.0,2.0,0.0,141.0
442,1723168,30.699400107065838,0.0011311506137091,0.036925763303547736,75.52359275132584,29.833,288.75,2.3901759316043937e-05,9.156466286838446e-06,9.8080097651107e-05,0.0001311383232539951,2.0,1.0,770.0,2.0,0.0,34.666666666666664
218,2245101,30.63548954327901,0.0011247921707773,0.0367816751031497,75.21011630242704,29.676333333333332,288.75,2.121847675434011e-05,8.312401238237418e-06,8.596025236200969e-05,0.00011549113035459048,2.0,1.0,770.0,2.0,0.0,38.333333333333336
152,2425084,30.431826670964558,0.0010018936019196001,0.03292364954123833,76.32184568338172,29.73766666666667,288.75,1.1620295452528629e-05,4.478306862755547e-06,4.319069381988449e-05,5.9289296135170816e-05,2.0,1.0,770.0,2.0,0.0,71.0
208,845003,30.179860194524128,0.0011177944634716,0.03703971968803133,75.04429553962159,29.651,288.75,3.4788000339836336e-06,1.3021325065752977e-06,1.464351730643608e-05,1.942444984699571e-05,2.0,1.0,770.0,2.0,0.0,191.33333333333334
290,1205238,30.239688316981,0.0011159137484288001,0.03692602474344794,77.29409094112015,29.768,288.75,1.1155719557829312e-05,4.308027207752873e-06,4.5733756344601645e-05,6.119750311018591e-05,2.0,1.0,770.0,2.0,0.0,73.33333333333333
362,4778063,31.052006403605144,0.0011376188253453335,0.03674673754530303,75.03227308074254,29.70566666666667,288.75,9.287306732749048e-05,3.6903256335366665e-05,0.00041014718148442864,0.0005399235051472953,2.0,1.0,770.0,2.0,0.0,7.0
203,831061,30.12514305114746,0.0012366517609854666,0.0410590377996377,76.32611720450826,29.983333333333338,288.75,3.437070603434412e-06,1.510829695396372e-06,1.656428568651291e-05,2.1512185985344387e-05,2.0,1.0,770.0,2.0,0.0,193.0
365,3046439,31.350948174794514,0.0010253709989387,0.03270613021817603,75.02554605659655,29.47,288.75,5.975317973011212e-05,2.3523655961293938e-05,0.00022640936151146365,0.0003096861972028788,2.0,1.0,770.0,2.0,0.0,11.0
