,batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,region,cloud_provider,cloud_region,cpu_count,gpu_count,longitude,latitude,ram_total_size,rep_no,macs,forward_passes
288,263,3485301,30.901514768600464,0.0010131065261873332,0.03278496842407167,74.8565909389913,29.776,288.75,6.542857768541e-05,2.5729056814903334e-05,0.00024542260675794334,0.0003365802412582633,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,10.0
289,410,3021776,33.15261268615723,0.0010871869837474,0.032793553940627405,76.16443226766661,30.028333333333336,288.75,8.776438913506249e-05,3.428444426550833e-05,0.00032944077779020834,0.0004514896111907916,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,8.0
290,259,2094627,30.99959643681844,0.0011389151329101333,0.0368624712783121,77.01560250504066,29.865333333333336,288.75,3.346337684293673e-05,1.3007324376282485e-05,0.0001378987447841143,0.00018436944600333746,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,21.333333333333332
291,334,4193652,32.418479204177856,0.0010628780301578332,0.03278612388159103,76.14076752407901,29.66033333333333,288.75,9.795058675987141e-05,3.852683704346667e-05,0.00036797346853546667,0.0005044508923388191,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
292,132,1373697,30.263222217559814,0.0011180660071195333,0.03695629032854663,76.80113583724794,29.493,288.75,7.150244199136278e-06,2.683351590382632e-06,3.0194011643131642e-05,4.0027607432652e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,92.66666666666667
293,359,4702045,33.432992140452065,0.0010954222612966,0.0327648414217234,76.08968674085227,29.516666666666666,288.75,0.00011799402828402778,4.570179613658333e-05,0.00044285027817994447,0.0006065461026005667,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,6.0
294,45,1360551,30.07581623395284,0.0013529289705299333,0.04498396850965936,50.95108108846932,29.76,288.75,2.2315316242609163e-06,1.0590897930643977e-06,1.3114506495584594e-05,1.6405127912910278e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,274.0
295,310,3089343,32.278671185175575,0.0010592976531214667,0.03281719240584107,76.52107992706705,29.851333333333333,288.75,6.855372084292666e-05,2.677090907721e-05,0.00025660150068500996,0.0003519261306051567,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,10.0
296,266,523348,30.151675303777058,0.0013586953576214002,0.04506201073077084,75.16040548582355,29.611333333333334,288.75,5.125353735418231e-06,1.911187232796832e-06,2.7600372901025125e-05,3.4636913869240704e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,130.33333333333334
297,268,2551680,31.674759944279987,0.0010413065919272666,0.0328768912669652,77.66125537976824,29.703333333333333,288.75,4.1615908204072854e-05,1.5942877917558476e-05,0.00015397081225282402,0.00021152959837446276,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,17.666666666666668
298,489,3303952,31.387837727864582,0.0010305874965345666,0.032833806613819565,75.21572968665173,29.945666666666668,288.75,0.0001115307547492111,4.353887091758333e-05,0.0004155768286712667,0.0005706464543380834,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,6.0
299,284,1793030,30.899057070414226,0.0010161230440219,0.0328854517843402,77.30586134959557,30.158,288.75,3.11497682858601e-05,1.215305534602761e-05,0.00011578895217382322,0.00015909177580571666,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,23.0
300,15,1169410,30.04957866668701,0.0011145122026332331,0.037086533921974967,77.91437513822855,30.102999999999998,288.75,6.972247942752401e-07,2.638903715156826e-07,2.953426196141925e-06,3.914541361932919e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,946.0
301,250,4975996,33.21538265546163,0.0010911940934728,0.03285186609540824,76.81802082098737,30.024666666666665,288.75,8.84651011539625e-05,3.461298690402083e-05,0.00033007560524468335,0.000453153693302675,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,8.0
302,421,2489292,31.414416948954266,0.0010322093358064001,0.03285777407643956,76.53681420826287,30.02266666666667,288.75,7.462425819729629e-05,2.9162142390877778e-05,0.00027724325456368517,0.0003810296551518704,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.0
303,337,3844035,30.646018346150715,0.0011290236013343335,0.03688068602967473,75.3647413610048,30.144666666666666,288.75,9.325199647983809e-05,3.6668311359047616e-05,0.00040592383138006666,0.0005358441392189619,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
304,12,2045119,30.072667360305786,0.0013555432561382335,0.0450755897988521,78.00020377001049,29.968999999999998,288.75,9.635344220690036e-07,3.6332923387743866e-07,5.234806594655089e-06,6.5616702506016285e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,686.3333333333334
305,30,4455730,30.114103317260742,0.0013561142648717665,0.0450325161099042,76.47038545492642,29.881,288.75,5.296686092578084e-06,2.0095615406517013e-06,2.8833516547062166e-05,3.6139764180292485e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,124.66666666666667
306,15,4059624,30.09682043393453,0.0012356763230864667,0.04104956494555727,76.10223412991608,29.855999999999998,288.75,2.4646016009622967e-06,9.375225795059926e-07,1.1973295122062297e-05,1.5375419302531086e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,267.0
307,202,394733,30.09142740567525,0.0013566445120878666,0.04508409280689433,77.37728120349279,29.84166666666667,288.75,2.897100547342582e-06,1.0828698676355772e-06,1.5646702284324724e-05,1.9626672699303465e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,229.66666666666666
308,417,1939186,31.511760314305622,0.0010379680158176,0.0329415959132658,78.22324974093617,29.784333333333336,288.75,4.0770726183571423e-05,1.5713511729215473e-05,0.00015000380413537342,0.00020648804204816628,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,18.0
309,250,4194179,31.539273659388225,0.0010335681058538668,0.03277094647438897,75.88757208149828,30.273666666666667,288.75,7.42682203816037e-05,2.9017460805092594e-05,0.0002782455502100889,0.0003815312313967889,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.0
310,170,3799025,30.670866171518963,0.0011291703231539332,0.0368834526462225,75.30525515155637,30.41566666666667,288.75,3.994073453112819e-05,1.585460383757438e-05,0.00016493710111412422,0.00022073243948283287,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,17.666666666666668
311,224,3298331,30.208799759546917,0.0012366831144392666,0.040938824909626435,49.594918121337436,30.527000000000005,288.75,3.374340930951667e-05,1.839386220805202e-05,0.00019143020614843307,0.00024356747766600883,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,18.666666666666668
312,234,4513421,31.887338479359943,0.0010474391574947668,0.03284787815393963,76.18246184941681,30.622333333333334,288.75,7.522588921357778e-05,2.9900048330137034e-05,0.00028152565252449264,0.0003866515900682185,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.0
313,386,1221103,30.31787395477295,0.0009979913627989,0.03291789347164493,74.89877710641589,30.661,288.75,2.8899747094575287e-05,1.1509816122115439e-05,0.00010751048667650304,0.0001479200498931965,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,24.333333333333332
314,453,187061,30.11775867144267,0.0013597590698719332,0.04514810084405013,76.04225218893532,30.756333333333334,288.75,2.9521795591981845e-06,1.1376529012425467e-06,1.595918221051985e-05,2.0049014670960878e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,225.33333333333334
315,149,3913182,30.944130659103397,0.001139671921407,0.03693807031746227,76.1203743788605,30.374,288.75,3.604674789755765e-05,1.4260248889821686e-05,0.00016106828905746427,0.00021137528584485126,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,20.0
316,498,4394730,36.25467228889465,0.0011925677439319998,0.032894083490162006,76.6396449923234,30.399333333333335,288.75,0.00015426139750160666,6.120824012936e-05,0.0005769341789351466,0.0007924038165661268,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,5.0
317,33,3704534,30.20697871843974,0.0011187171129384667,0.037046920905040734,75.97245196469302,30.252333333333336,288.75,4.930287578122393e-06,1.8899104480436621e-06,2.087880450938263e-05,2.769900253554943e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,134.33333333333334
318,212,2310698,30.794594128926594,0.0011464617191218,0.0373116284609495,81.44912824361008,30.308666666666667,288.75,3.0126881274289335e-05,1.416093375605044e-05,0.0001345674315851406,0.00017885524661548138,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,23.666666666666668
319,363,611856,30.25325083732605,0.0011213242810728665,0.03707454130675317,77.09826218551247,30.304000000000002,288.75,8.220210589275123e-06,3.114933829970792e-06,3.44891770360967e-05,4.582432145534385e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,81.33333333333333
320,355,1603345,30.43641972541809,0.0010036665688256668,0.03297669923170833,76.08728159530938,30.242,288.75,2.8812486258581318e-05,1.1332101614039297e-05,0.0001063017410381373,0.0001464463289107623,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,24.666666666666668
321,36,1556825,30.059247732162476,0.001235518601634,0.04109987585235047,77.80003239034319,30.309,288.75,2.198398084083695e-06,8.415337004774735e-07,1.0642566845794449e-05,1.3682498630356062e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,300.0
322,202,2585465,30.38644711176555,0.0012420118460147332,0.0409168633319232,75.1868407500811,30.372,288.75,3.215260187436017e-05,1.2697973200479597e-05,0.00016685519523513656,0.00021170577030997823,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,22.0
323,353,2748919,32.14254625638326,0.0010564379453730998,0.032867186221409134,76.44278519305864,30.426666666666666,288.75,6.833503734390334e-05,2.7127585286903334e-05,0.0002555134389549434,0.0003509760615857667,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,10.0
324,40,4467494,30.22537612915039,0.0011191762824275,0.0370412331432026,77.75401348149389,30.258,288.75,7.118518216910974e-06,2.7388470087936726e-06,3.017195492705297e-05,4.0029320152758334e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,93.0
325,80,3009492,30.333218495051067,0.0011226031062963333,0.037038142819833066,78.42223805498539,30.396666666666665,288.75,9.48660716070762e-06,3.6501903050557145e-06,4.014289433757381e-05,5.327969180333857e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,70.0
326,77,4379064,30.42561109860738,0.0011221464800007,0.0369196587330571,76.09097677735441,29.986,288.75,1.6914907345317906e-05,6.5088294486835754e-06,7.065634075538475e-05,9.40800775493907e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,42.0
327,155,3656584,30.61239234606425,0.0010072123617523665,0.0329020210212367,77.59855455059609,30.162000000000003,288.75,2.8344680773332914e-05,1.1042481298839446e-05,0.00010443136094724235,0.00014381852301941902,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,25.333333333333332
328,478,1215595,31.140175342559814,0.0010243969578342669,0.03289775691048857,76.8140317516444,30.29733333333333,288.75,3.543182961778714e-05,1.393297126239454e-05,0.0001320184402058939,0.00018138324108608298,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,20.333333333333332
329,250,2096637,30.62386178970337,0.0010088767170614,0.032944128481031565,77.52030984243709,30.09566666666667,288.75,2.670695125609902e-05,1.034390872759234e-05,9.839371834513112e-05,0.00013544457832882653,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,27.0
330,123,2620735,30.591891368230183,0.0011286972990176333,0.0369590888996718,77.84803597419311,30.225666666666665,288.75,1.6413761310568786e-05,6.40651955071275e-06,6.849270023905428e-05,9.13129811003383e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,43.666666666666664
331,69,4465293,30.473066171010334,0.0011247645369642,0.0369625790068455,76.77985809142503,30.360333333333333,288.75,1.580516946436167e-05,6.211985627172782e-06,6.609171907633838e-05,8.810887416787409e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,45.0
332,116,327804,30.099380493164062,0.0013583241457138,0.045127977051086336,77.66789180942486,30.42566666666667,288.75,1.3588278844116586e-06,5.21197464541427e-07,7.354874136171115e-06,9.234899485124542e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,488.6666666666667
333,227,4091599,31.359628121058147,0.0010303724429989332,0.032856620964167,75.91204863664989,30.704666666666668,288.75,6.644078011553667e-05,2.6717072515736666e-05,0.00024915857361421995,0.00034231642624550336,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,10.0
334,186,4052695,30.557655334472656,0.0010040412453563,0.032857963591568666,75.97547802368952,30.209000000000003,288.75,4.614867225139596e-05,1.8251016174477527e-05,0.00017154955042319065,0.0002359492388490697,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,15.333333333333334
