batch_size,image_size,kernel_size,in_channels,stride,padding,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
235,184,5,311,5,2,32.391891638437905,0.0010392636538271666,0.032084102634952795,75.48488714349375,30.405,288.75,0.00011287662749257778,4.549415864646111e-05,0.00041707974200446665,0.0005754505281435222,2.0,1.0,770.0,2.0,1250667062.0,6.0
133,21,11,1,3,3,30.03227710723877,0.0009607138352969334,0.0319893767196073,73.61199582251855,30.613,288.75,1.3169621830276708e-08,5.440224601139477e-09,4.98721532499674e-08,6.848199968138573e-08,2.0,1.0,770.0,2.0,289674.0,46608.0
92,215,7,144,2,0,33.00043042500814,0.0010545433144384666,0.0319554370723144,73.8343513589703,30.13166666666667,288.75,0.00022563582467516666,9.234233540767778e-05,0.0008498438935588777,0.0011678220536417555,2.0,1.0,770.0,2.0,3578450400.0,3.0
190,143,4,120,2,0,33.64941612879435,0.0010745655331632668,0.0319341866595763,74.47493372886267,29.915333333333336,288.75,8.737727081610416e-05,3.5039147781558334e-05,0.00032383172640369166,0.00044624814500136665,2.0,1.0,770.0,2.0,893760000.0,8.0
226,220,11,325,2,2,124.25389536221822,0.003970127580388168,0.031951719203190065,73.44406652031174,30.387666666666664,288.75,0.002545191816151767,0.0010485616324107,0.009596039177311734,0.013189792625874332,2.0,1.0,770.0,2.0,50876207525.0,1.0
170,74,7,462,4,1,31.28668411572774,0.0009987827299774666,0.03192331957769597,74.31409181092718,30.307666666666666,288.75,4.0294105117197916e-05,1.6442270644054168e-05,0.00015065206484868752,0.00020738844060995,2.0,1.0,770.0,2.0,623450520.0,16.0
131,154,11,92,3,2,30.62103549639384,0.0009754062539661666,0.03185412089552373,73.76430912748886,30.212666666666667,288.75,8.95882110620381e-05,3.657022683462857e-05,0.0003367776104973381,0.00046293604839401904,2.0,1.0,770.0,2.0,1822865000.0,7.0
130,76,7,192,4,1,30.10803286234538,0.0009629765123882001,0.0319840429765759,74.25009032158604,30.123,288.75,1.2172693173149674e-05,4.919770940362091e-06,4.563807542060327e-05,6.27305395341183e-05,2.0,1.0,770.0,2.0,198132480.0,51.0
70,77,11,430,5,3,30.604573726654053,0.0009770049731368667,0.03192351258711093,73.91200271044823,30.248333333333335,288.75,1.9620107099428123e-05,8.007568703564582e-06,7.380556476353958e-05,0.00010143324056653543,2.0,1.0,770.0,2.0,409736250.0,32.0
222,89,7,445,2,3,40.10548973083496,0.0013073745057533333,0.032813069199772935,74.67920686790427,29.998333333333335,288.75,0.0003087735861235944,0.0001298831939936611,0.0012018461006382888,0.0016405028807555833,2.0,1.0,770.0,2.0,4901218875.0,2.6666666666666665
237,124,11,434,3,0,44.222580552101135,0.00141304699373155,0.03195300063270025,73.9412314359631,29.987000000000002,288.75,0.00045357804480657495,0.000184836259770475,0.001708839837834225,0.002347254142411275,2.0,1.0,770.0,2.5,8985880596.0,2.0
205,48,2,391,5,1,30.125707705815632,0.0009683645852914333,0.032144126550284834,75.71520792750174,30.05033333333333,288.75,3.462195295052277e-06,1.3793530003788707e-06,1.2738550560685428e-05,1.758009885611712e-05,2.0,1.0,770.0,2.0,16031000.0,183.0
57,17,9,54,1,1,30.05053933461507,0.0009621151359306333,0.03201657537961156,73.99508758344273,30.199333333333332,288.75,7.869951094656958e-07,3.2269543219441036e-07,2.974298922827e-06,4.083989464487234e-06,2.0,1.0,770.0,2.0,15083739.0,782.6666666666666
6,91,8,166,4,3,30.047607898712158,0.0009616052162521333,0.032002720386648933,73.97193485991421,30.373333333333335,288.75,9.123395570770557e-07,3.737856259967996e-07,3.432784292736189e-06,4.718909475810242e-06,2.0,1.0,770.0,2.0,16860288.0,677.0
106,170,9,346,2,2,53.49009625116984,0.0017087745243705335,0.0319456040472442,73.72929911362586,30.288,288.75,0.0005481851635477667,0.00022529704751886664,0.0020650136765920164,0.0028384958876587,2.0,1.0,770.0,2.0,10232769042.0,2.0
223,218,6,190,2,2,31.673512776692707,0.0010116420251124333,0.031939595176284766,73.7369927762298,30.260333333333335,288.75,0.0006514233291937333,0.00026391645481066667,0.0024455971765021,0.0033609369605065668,2.0,1.0,770.0,2.0,9061163460.0,1.0
