batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes,test
344,2578657,31.31545964876811,0.0010026619285624999,0.032018385264290634,75.32304939215119,30.683333333333337,288.75,3.638909015034074e-05,1.4768268359946297e-05,0.00013390390552855925,0.00018506126403885188,2.0,1.0,770.0,2.0,887058008.0,18.0,1.0
497,2122656,30.62685267130534,0.0010529675975179335,0.03438025927124246,50.18565722675916,30.619,288.75,4.207606466699333e-05,1.8017078219924445e-05,0.00017312227184573334,0.00023321541473265777,2.0,1.0,770.0,2.0,1054960032.0,15.0,1.0
116,1393784,30.200080235799152,0.0009903412707542333,0.03279018657610083,74.89613780481966,30.417666666666666,288.75,6.758309979490422e-06,2.7322953930474455e-06,2.5755810870734558e-05,3.524641624327458e-05,2.0,1.0,770.0,2.0,161678944.0,93.33333333333333,1.0
376,1896075,31.16915734608968,0.0009943030189665666,0.031899980434469434,74.76712170718555,30.348000000000003,288.75,2.9591074800784848e-05,1.1912185549266665e-05,0.00010864820732838334,0.0001501514676784379,2.0,1.0,770.0,2.0,712924200.0,22.0,1.0
294,606031,30.277019421259563,0.0010164928352561669,0.0335700618447754,74.87278193909054,30.519333333333332,288.75,7.462145894586998e-06,3.0109986898935057e-06,2.9406798565617847e-05,3.987994315009953e-05,2.0,1.0,770.0,2.0,178173114.0,84.66666666666667,1.0
293,4039274,31.94131286938985,0.0010218168276883998,0.0319906703786265,75.02561935458696,30.27133333333333,288.75,4.771149084773095e-05,1.914971967705476e-05,0.00017562023885547858,0.00024248144938027142,2.0,1.0,770.0,2.0,1183507282.0,14.0,1.0
135,2168732,30.249754349390667,0.0009909736356976666,0.03275487148550316,74.88166159415735,30.088000000000005,288.75,1.2302399189851974e-05,4.9426421045829935e-06,4.6873484671087474e-05,6.411852596552439e-05,2.0,1.0,770.0,2.0,292778820.0,51.333333333333336,1.0
1,1019551,30.03147792816162,0.000967972345167,0.03223192477437476,77.15610039297728,30.138666666666666,288.75,7.71826227272472e-09,3.0273463759674754e-09,2.7934851657995043e-08,3.8680460306688846e-08,2.0,1.0,770.0,2.0,1019551.0,83139.0,1.0
491,76374,30.082895676294964,0.0009641888797366333,0.0320510680044961,75.18184104968314,30.150000000000002,288.75,1.5344573753861083e-06,6.170511893514617e-07,5.667753637065681e-06,7.819262201803414e-06,2.0,1.0,770.0,2.0,37499634.0,409.6666666666667,1.0
463,2666975,31.06169867515564,0.0009911264474876333,0.031907425826226264,74.87005058986294,30.039000000000005,288.75,4.99474931559641e-05,1.9863651073928206e-05,0.00018347954002455387,0.00025329068425445386,2.0,1.0,770.0,2.0,1234809425.0,13.0,1.0
237,2543769,30.638269583384197,0.0010527979633352,0.03436228886413297,75.763567757398,30.349999999999998,288.75,2.5565049670539996e-05,1.0598672956778668e-05,0.000103742983463736,0.00013990670609105734,2.0,1.0,770.0,2.0,602873253.0,25.0,1.0
442,1949142,30.61824059486389,0.0009989093452469667,0.03262742804156996,261.4179391063663,30.325666666666667,288.75,3.5541153191125926e-05,1.4711028808955555e-05,0.00013411646791630186,0.0001843686499163889,2.0,1.0,770.0,2.0,861520764.0,18.0,1.0
299,4402160,30.4376486937205,0.0010257235103655667,0.033704480659401265,126.830489843709,30.268,288.75,5.300560652481666e-05,2.2081555603575e-05,0.00020888972012670555,0.0002839768822551111,2.0,1.0,770.0,2.0,1316245840.0,12.0,1.0
197,2614710,30.302766402562458,0.0009928236665883332,0.03276068017930567,74.84607166099691,30.750333333333334,288.75,2.1797271016985057e-05,8.870899243603449e-06,8.307036411773447e-05,0.00011373853437832528,2.0,1.0,770.0,2.0,515097870.0,29.0,1.0
